,PURPOSE_CD,INTERVAL_NO,BID_OFFER_DATE_DT,QUANTITY_NO,AWARDED_QUANTITY_NO,ENERGY_PRICE_NO,MERIT_ORDER_NO,PARTIAL_QTY_ACCEPTED_IN,ZONE_CD,AWARDED_PRICE_NO,OPERATORE
2239889,OFF,12,2017-11-04,7.86,7.86,2.0,818.0,N,SARD,49.67,TRAILSTONE GMBH
2239913,OFF,12,2017-11-04,0.136,0.136,0.0,356.0,N,SUD,49.67,Bilateralista
2239929,OFF,12,2017-11-04,0.128,0.128,0.0,211.0,N,CSUD,49.67,GSE SPA
2239946,OFF,12,2017-11-04,26.701,26.701,0.0,520.0,N,SUD,49.67,AXPO ITALIA SPA
2239970,OFF,12,2017-11-04,9.5,9.5,0.0,725.0,N,SUD,49.67,Bilateralista
2239994,OFF,12,2017-11-04,0.063,0.063,0.0,361.0,N,SUD,49.67,Bilateralista
2240018,OFF,12,2017-11-04,1.354,1.354,0.0,457.0,N,SICI,49.67,DUFENERGY TRADING SA
2240036,OFF,12,2017-11-04,6.0,6.0,0.0,542.0,N,NORD,49.67,ALPERIA ENERGY SRL
2240057,OFF,12,2017-11-04,568.5,568.5,0.0,615.0,N,SARD,49.67,GSE SPA
2240081,OFF,12,2017-11-04,14.9,14.9,0.0,140.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2240110,OFF,12,2017-11-04,1.4980000000000002,1.4980000000000002,0.0,474.0,N,CSUD,49.67,DUFERCO ENERGIA S.p.A.
2240134,OFF,12,2017-11-04,2.502,2.502,0.0,574.0,N,NORD,49.67,Bilateralista
2240193,OFF,12,2017-11-04,0.831,0.831,32.1,1104.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2240194,OFF,12,2017-11-04,3.694,3.694,42.1,1179.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2240238,OFF,12,2017-11-04,13.3,13.3,30.0,1061.0,N,SUD,49.67,4ENERGIA SRL
2240239,OFF,12,2017-11-04,0.001,0.001,9.9,878.0,N,SUD,49.67,4ENERGIA SRL
2240274,OFF,12,2017-11-04,0.08800000000000001,0.08800000000000001,0.0,184.0,N,SUD,49.67,ENERGY.DIS S.R.L.
2240325,OFF,12,2017-11-04,18.0,18.0,34.47,1122.0,N,NORD,49.67,ENI SPA
2240326,OFF,12,2017-11-04,53.96100000000001,53.96100000000001,44.28,1208.0,N,NORD,49.67,ENI SPA
2240327,OFF,12,2017-11-04,87.0,87.0,0.0,724.0,N,NORD,49.67,Bilateralista
2240328,OFF,12,2017-11-04,67.039,67.039,44.28,1209.0,N,NORD,49.67,Bilateralista
2240392,OFF,12,2017-11-04,5.294,5.294,0.0,416.0,N,SUD,49.67,DUFENERGY TRADING SA
2240416,OFF,12,2017-11-04,6.0,6.0,0.0,141.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2240440,OFF,12,2017-11-04,0.043,0.043,2.4,830.0,N,SUD,49.67,EGO TRADE SRL
2240464,OFF,12,2017-11-04,8.866,8.866,32.12,1111.0,N,NORD,49.67,EGO TRADE SRL
2240488,OFF,12,2017-11-04,9.0,9.0,0.0,142.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2240518,OFF,12,2017-11-04,22.0,22.0,0.0,599.0,N,SUD,49.67,DUFERCO ENERGIA S.p.A.
2240548,OFF,12,2017-11-04,0.292,0.292,9.91,890.0,N,SUD,49.67,EGO TRADE SRL
2240575,OFF,12,2017-11-04,0.113,0.113,0.0,414.0,N,SUD,49.67,DUFENERGY TRADING SA
2240624,OFF,12,2017-11-04,0.601,0.601,0.0,267.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2240625,OFF,12,2017-11-04,0.261,0.261,32.1,1105.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2240626,OFF,12,2017-11-04,1.16,1.16,42.1,1180.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2240664,OFF,12,2017-11-04,22.67,22.67,2.0,820.0,N,SARD,49.67,TRAILSTONE GMBH
2240688,OFF,12,2017-11-04,0.75,0.75,2.0,817.0,N,SUD,49.67,TRAILSTONE GMBH
2240712,OFF,12,2017-11-04,0.094,0.094,10.0,909.0,N,SUD,49.67,EDISON TRADING S.P.A.
2240752,OFF,12,2017-11-04,17.33,17.33,0.0,412.0,N,SUD,49.67,DUFENERGY TRADING SA
2240769,OFF,12,2017-11-04,0.224,0.224,0.0,143.0,N,SUD,49.67,ENEL PRODUZIONE S.P.A.
2240786,OFF,12,2017-11-04,1.41,1.41,10.0,925.0,N,NORD,49.67,EDISON TRADING S.P.A.
2240804,OFF,12,2017-11-04,29.007,29.007,0.0,761.0,N,NORD,49.67,AXPO ITALIA SPA
2240833,OFF,12,2017-11-04,4.0,4.0,1.0,791.0,N,CSUD,49.67,BURGO ENERGIA S.R.L.
2240834,OFF,12,2017-11-04,12.0,12.0,29.05,1049.0,N,CSUD,49.67,BURGO ENERGIA S.R.L.
2240864,OFF,12,2017-11-04,10.057,10.057,0.0,144.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2240888,OFF,12,2017-11-04,3.5,3.5,0.0,575.0,N,NORD,49.67,Bilateralista
2240906,OFF,12,2017-11-04,50.003,50.003,44.0,1201.0,N,NORD,49.67,Bilateralista
2240928,OFF,12,2017-11-04,220.0,220.0,0.0,745.0,N,CSUD,49.67,AXPO ITALIA SPA
2240966,OFF,12,2017-11-04,280.0,280.0,40.05,1155.0,N,NORD,49.67,Bilateralista
2240967,OFF,12,2017-11-04,190.0,190.0,48.52,1265.0,N,NORD,49.67,Bilateralista
2241002,OFF,12,2017-11-04,0.111,0.111,0.0,357.0,N,SUD,49.67,Bilateralista
2241026,OFF,12,2017-11-04,0.099,0.099,0.0,193.0,N,SUD,49.67,ENERGY.TRADE SRL
2241046,OFF,12,2017-11-04,0.39,0.39,0.0,145.0,N,NORD,49.67,ENEL PRODUZIONE S.P.A.
2241063,OFF,12,2017-11-04,250.0,250.0,0.0,755.0,N,BRNN,49.67,SORGENIA S.P.A.
2241064,OFF,12,2017-11-04,57.0,57.0,41.88,1158.0,N,BRNN,49.67,SORGENIA S.P.A.
2241065,OFF,12,2017-11-04,57.0,4.875,49.67,1273.0,Y,BRNN,49.67,SORGENIA S.P.A.
2241109,OFF,12,2017-11-04,0.067,0.067,0.0,146.0,N,SUD,49.67,ENEL PRODUZIONE S.P.A.
2241133,OFF,12,2017-11-04,0.279,0.279,0.0,484.0,N,SUD,49.67,DUFERCO ENERGIA S.p.A.
2241157,OFF,12,2017-11-04,0.042,0.042,0.0,486.0,N,SUD,49.67,DUFERCO ENERGIA S.p.A.
2241181,OFF,12,2017-11-04,0.268,0.268,10.0,910.0,N,SUD,49.67,EDISON TRADING S.P.A.
2241205,OFF,12,2017-11-04,0.07400000000000001,0.07400000000000001,0.0,479.0,N,FOGN,49.67,DUFERCO ENERGIA S.p.A.
2241229,OFF,12,2017-11-04,0.019,0.019,0.0,407.0,N,SUD,49.67,DUFENERGY TRADING SA
2241253,OFF,12,2017-11-04,0.021,0.021,0.0,417.0,N,SUD,49.67,DUFENERGY TRADING SA
2241277,OFF,12,2017-11-04,2.156,2.156,0.0,147.0,N,SICI,49.67,ENEL PRODUZIONE S.P.A.
2241301,OFF,12,2017-11-04,1.971,1.971,0.0,268.0,N,SARD,49.67,ERG POWER GENERATION S.P.A.
2241325,OFF,12,2017-11-04,8.103,8.103,0.0,337.0,N,NORD,49.67,Bilateralista
2241349,OFF,12,2017-11-04,8.69,8.69,0.0,324.0,N,NORD,49.67,Bilateralista
2241375,OFF,12,2017-11-04,46.0,46.0,0.0,552.0,N,SUD,49.67,API NòVA ENERGIA A R.L.
2241399,OFF,12,2017-11-04,1.053,1.053,0.0,148.0,N,SARD,49.67,ENEL PRODUZIONE S.P.A.
2241423,OFF,12,2017-11-04,20.0,20.0,30.0,1066.0,N,SARD,49.67,OTTANA ENERGIA SPA
2241440,OFF,12,2017-11-04,11.517,11.517,0.0,423.0,N,CSUD,49.67,DUFENERGY TRADING SA
2241457,OFF,12,2017-11-04,2.05,2.05,0.0,149.0,N,CSUD,49.67,ENEL PRODUZIONE S.P.A.
